-----------------------------------
| info/                |          |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.865      |
|    explained_variance   | 0.9073529   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0384     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0339     |
|    value_loss           | 0.00437     |
-----------------------------------------
----------------------------------------
| info/                   |            |
|    no_shield_action     | 0          |
|    sum_opened_door      | 0          |
|    sum_picked_up        | 0          |
|    sum_ran_into_lava    | 169        |
|    sum_reached_goal     | 95         |
| rollout/                |            |
|    ep_len_mean          | 81.9       |
|    ep_rew_mean          | 0.55       |
| time/                   |            |
|    fps                  | 72         |
|    iterations           | 9          |
|    time_elapsed         | 254        |
|    total_timesteps      | 18432      |
| train/                  |            |
|    approx_kl            | 0.03199565 |
|    clip_fraction        | 0.298      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.848     |
|    explained_variance   | 0.85172725 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0544    |
|    n_updates            | 80         |
|    policy_gradient_loss | -0.036     |
|    value_loss           | 0.00789    |
----------------------------------------
----------------------------------------
| info/                   |            |
|    no_shield_action     | 0          |
|    sum_opened_door      | 0          |
|    sum_picked_up        | 0          |
|    sum_ran_into_lava    | 170        |
|    sum_reached_goal     | 111        |
| rollout/                |            |
|    ep_len_mean          | 79.1       |
|    ep_rew_mean          | 0.59       |
| time/                   |            |
|    fps                  | 72         |
|    iterations           | 10         |
|    time_elapsed         | 284        |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.03458129 |
|    clip_fraction        | 0.333      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.82      |
|    explained_variance   | 0.9420482  |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0552    |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.0398    |
|    value_loss           | 0.00708    |
----------------------------------------
